complex_id,complex_name,venues
sr:complex:6890,Palais des Sports Orleans,"[{'id': 'sr:venue:66107', 'name': 'Court 2', 'city_name': 'Orchies', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:66109', 'name': 'Court 3', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:66111', 'name': 'Court 4', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:70605', 'name': 'Court 5', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:74195', 'name': 'Center Court', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:74197', 'name': 'Court 1', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}]"
sr:complex:6904,Stade Pierre-de-Coubertin,
sr:complex:7048,Palacio de Deportes Jose Maria Martin Carpena,"[{'id': 'sr:venue:72565', 'name': 'Pista Cental', 'city_name': 'Malaga', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:72567', 'name': 'Pista 2', 'city_name': 'Malaga', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:72569', 'name': 'Pista 3', 'city_name': 'Malaga', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:72571', 'name': 'Pista 4', 'city_name': 'Malaga', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}]"
sr:complex:7052,Pabellon Municipal Fuente San Luis,
sr:complex:7208,Unipol Arena,
sr:complex:7778,Arena Gripe,
sr:complex:9725,Arena Armeets Sofia,"[{'id': 'sr:venue:17756', 'name': 'Center Court', 'city_name': 'Sofia', 'country_name': 'Bulgaria', 'country_code': 'BGR', 'timezone': 'Europe/Sofia'}, {'id': 'sr:venue:17758', 'name': 'Court 1', 'city_name': 'Sofia', 'country_name': 'Bulgaria', 'country_code': 'BGR', 'timezone': 'Europe/Sofia'}, {'id': 'sr:venue:23352', 'name': 'Court 3', 'city_name': 'Sofia', 'country_name': 'Bulgaria', 'country_code': 'BGR', 'timezone': 'Europe/Sofia'}, {'id': 'sr:venue:23354', 'name': 'Court 4', 'city_name': 'Sofia', 'country_name': 'Bulgaria', 'country_code': 'BGR', 'timezone': 'Europe/Sofia'}, {'id': 'sr:venue:23356', 'name': 'Court 2', 'city_name': 'Sofia', 'country_name': 'Bulgaria', 'country_code': 'BGR', 'timezone': 'Europe/Sofia'}]"
sr:complex:10063,Kindarena,"[{'id': 'sr:venue:66889', 'name': 'Center Court', 'city_name': 'Rouen', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:66925', 'name': 'Amelie Mauresmo', 'city_name': 'Rouen', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:66979', 'name': 'Celine Dumerc', 'city_name': 'Rouen', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:74546', 'name': 'Court 1', 'city_name': 'Rouen', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}]"
sr:complex:11769,Estadio German Becker,"[{'id': 'sr:venue:67857', 'name': 'Cancha Central', 'city_name': 'Temuco', 'country_name': 'Chile', 'country_code': 'CHL', 'timezone': 'America/Santiago'}, {'id': 'sr:venue:67859', 'name': 'Cancha 1', 'city_name': 'Temuco', 'country_name': 'Chile', 'country_code': 'CHL', 'timezone': 'America/Santiago'}, {'id': 'sr:venue:67861', 'name': 'Cancha 2', 'city_name': 'Temuco', 'country_name': 'Chile', 'country_code': 'CHL', 'timezone': 'America/Santiago'}, {'id': 'sr:venue:67863', 'name': 'Cancha 3', 'city_name': 'Temuco', 'country_name': 'Chile', 'country_code': 'CHL', 'timezone': 'America/Santiago'}]"
sr:complex:12241,Palais des sports de Gerland,"[{'id': 'sr:venue:30465', 'name': 'Indoor 1', 'city_name': 'Lyon', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:30467', 'name': 'Indoor 2', 'city_name': 'Lyon', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:30469', 'name': 'Indoor 3', 'city_name': 'Lyon', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:39773', 'name': 'Court 23', 'capacity': 1, 'city_name': 'Lyon', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:39842', 'name': 'Court 14', 'city_name': 'Lyon', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:39844', 'name': 'Court 15', 'city_name': 'Lyon', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:58692', 'name': 'Court 12', 'capacity': 1, 'city_name': 'Lyon', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}]"
sr:complex:15014,Palais Des Sport,"[{'id': 'sr:venue:15010', 'name': 'La Foret 3', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:16880', 'name': 'Central Court', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:23652', 'name': 'La Foret 2', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:66105', 'name': 'Court 1', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:66137', 'name': 'La Foret 4', 'capacity': 1, 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:66139', 'name': 'La Foret 1', 'capacity': 1, 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:70603', 'name': 'Court 2', 'city_name': 'Orleans', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}]"
sr:complex:15371,Palasport,"[{'id': 'sr:venue:67869', 'name': 'Court 2', 'city_name': 'Andria', 'country_name': 'Italy', 'country_code': 'ITA', 'timezone': 'Europe/Rome'}, {'id': 'sr:venue:67871', 'name': 'Court 3', 'city_name': 'Andria', 'country_name': 'Italy', 'country_code': 'ITA', 'timezone': 'Europe/Rome'}, {'id': 'sr:venue:68095', 'name': 'Campo Tato Paride', 'city_name': 'Andria', 'country_name': 'Italy', 'country_code': 'ITA', 'timezone': 'Europe/Rome'}, {'id': 'sr:venue:68097', 'name': 'Campo Arpex', 'city_name': 'Andria', 'country_name': 'Italy', 'country_code': 'ITA', 'timezone': 'Europe/Rome'}]"
sr:complex:16020,Salle Steredenn,"[{'id': 'sr:venue:16022', 'name': 'Atg 3', 'city_name': 'Saint-Brieuc', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:18015', 'name': 'Atg 4', 'city_name': 'Saint-Brieuc', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:28371', 'name': 'Tcsb 4', 'city_name': 'Saint-Brieuc', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:28373', 'name': 'Tcsb 3', 'city_name': 'Saint-Brieuc', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:62697', 'name': 'Court Steredenn', 'city_name': 'Saint-Brieuc', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:80523', 'name': 'Court TCSB', 'city_name': 'Saint-Brieuc', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}]"
sr:complex:16069,Garanti Koza Arena,"[{'id': 'sr:venue:14874', 'name': 'Court Limak Enerji', 'city_name': 'Istanbul', 'country_name': 'Turkiye', 'country_code': 'TUR', 'timezone': 'Europe/Istanbul'}]"
sr:complex:16612,Porsche-Arena,"[{'id': 'sr:venue:1765', 'name': 'Centre Court', 'city_name': 'Stuttgart', 'country_name': 'Germany', 'country_code': 'DEU', 'timezone': 'Europe/Berlin'}, {'id': 'sr:venue:77411', 'name': 'Court 1', 'city_name': 'Stuttgart', 'country_name': 'Germany', 'country_code': 'DEU', 'timezone': 'Europe/Berlin'}, {'id': 'sr:venue:77413', 'name': 'Court 2', 'city_name': 'Stuttgart', 'country_name': 'Germany', 'country_code': 'DEU', 'timezone': 'Europe/Berlin'}]"
sr:complex:17254,Poliesportiu d'Andorra,
